Loan_Identifier,Monthly_Reporting_Period,Channel,Seller_Name,Servicer_Name,Original_Interest_Rate,Current_Interest_Rate,Original_UPB,Current_Actual_UPB,Original_Loan_Term,Loan_Age,Remaining_Months_to_Legal_Maturity,Remaining_Months_to_Maturity,Original_Loan_to_Value_Ratio_LTV,Original_Combined_Loan_to_Value_Ratio_CLTV,Number_of_Borrowers,Debt_To_Income_DTI,Borrower_Credit_Score_at_Origination,Co_Borrower_Credit_Score_at_Origination,First_Time_Home_Buyer_Indicator,Loan_Purpose,Property_Type,Number_of_Units,Occupancy_Status,Property_State,Metropolitan_Statistical_Area_MSA,Zip_Code_Short,Mortgage_Insurance_Percentage,Amortization_Type,Prepayment_Penalty_Indicator,Interest_Only_Loan_Indicator,Current_Loan_Delinquency_Status,Loan_Payment_History,Modification_Flag,Zero_Balance_Code,UPB_at_the_Time_of_Removal,Total_Principal_Current,Foreclosure_Costs,Property_Preservation_and_Repair_Costs,Asset_Recovery_Costs,Miscellaneous_Holding_Expenses_and_Credits,Associated_Taxes_for_Holding_Property,Net_Sales_Proceeds,Credit_Enhancement_Proceeds,Repurchase_Make_Whole_Proceeds,Other_Foreclosure_Proceeds,Modification_Related_Non_Interest_Bearing_UPB,Principal_Forgiveness_Amount,Mortgage_Insurance_Type,Servicing_Activity_Indicator,Special_Eligibility_Program,Foreclosure_Principal_Write_off_Amount,Relocation_Mortgage_Indicator,Property_Valuation_Method,High_Balance_Loan_Indicator,Borrower_Assistance_Plan,High_Loan_to_Value_HLTV_Refinance_Option_Indicator,Repurchase_Make_Whole_Proceeds_Flag,Alternative_Delinquency_Resolution,Alternative_Delinquency_Resolution_Count,Total_Deferral_Amount,Payment_Deferral_Modification_Event_Indicator,From_File,From_File_Numeric
175727913133,2000-01-01 00:00:00,R,Other,,7.875,7.875,70000.0,0.0,360.0,0.0,360.0,360.0,67.0,,1.0,44.0,734.0,,False,P,SF,1.0,P,OK,36420,731.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175828380965,2002-03-01 00:00:00,C,Amtrust Bank,"Jpmorgan Chase Bank, National Association",7.875,7.875,170000.0,157026.45,360.0,25.0,335.0,277.0,61.0,,2.0,27.0,739.0,754.0,False,P,SF,1.0,P,MI,19820,483.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
175932389117,2001-04-01 00:00:00,R,Other,,8.0,8.0,72000.0,71240.54,360.0,15.0,345.0,345.0,90.0,,1.0,20.0,760.0,,True,P,CO,1.0,P,FL,33100,333.0,17.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176068580676,2005-05-01 00:00:00,B,"Bank Of America, N.A.","Bank Of America, N.A.",7.875,7.875,123000.0,114554.27,360.0,64.0,296.0,286.0,75.0,,2.0,41.0,667.0,704.0,False,P,SF,1.0,P,AL,22520,356.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176172393192,2005-06-01 00:00:00,B,Other,"Jpmorgan Chase Bank, National Association",8.625,8.625,69000.0,64624.19,360.0,65.0,295.0,283.0,80.0,,1.0,31.0,638.0,,False,C,SF,1.0,P,MI,19820,482.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176265276318,2006-09-01 00:00:00,R,"Jp Morgan Chase Bank, Na","Jpmorgan Chase Bank, Na",7.75,7.75,38000.0,34414.09,360.0,80.0,280.0,273.0,68.0,,1.0,31.0,704.0,,False,R,SF,1.0,I,OH,19380,454.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176341813575,2003-02-01 00:00:00,C,"Bank Of America, N.A.","Bank Of America, N.A.",7.75,7.75,148000.0,110629.87,360.0,36.0,324.0,174.0,79.0,,2.0,42.0,774.0,741.0,False,P,SF,1.0,P,CA,33700,953.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176442488422,2000-11-01 00:00:00,R,"Jpmorgan Chase Bank, Na",,8.125,8.125,80000.0,78550.58,360.0,11.0,349.0,343.0,65.0,,2.0,41.0,783.0,787.0,False,C,MH,1.0,P,UT,0,847.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176512766835,2002-05-01 00:00:00,R,"Citimortgage, Inc.","Citimortgage, Inc.",8.0,8.0,67000.0,55777.33,120.0,27.0,93.0,92.0,63.0,,1.0,51.0,754.0,,False,C,SF,1.0,P,OK,46140,741.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176636318341,2008-05-01 00:00:00,R,"Pnc Bank, N.A.",Other,7.625,7.625,84000.0,59599.6,240.0,100.0,140.0,128.0,72.0,,2.0,19.0,658.0,669.0,False,R,PU,1.0,P,IN,26900,460.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176715976726,2006-04-01 00:00:00,R,"Gmac Mortgage, Llc","Gmac Mortgage, Llc",7.625,7.625,103000.0,63095.83,180.0,77.0,103.0,86.0,65.0,,2.0,33.0,757.0,716.0,False,R,SF,1.0,P,NY,15380,141.0,,FRM,False,False,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176836267655,2000-02-01 00:00:00,R,Regions Bank,,7.625,7.625,55000.0,0.0,360.0,1.0,359.0,351.0,94.0,,1.0,46.0,655.0,,False,P,SF,1.0,P,AR,0,719.0,30.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
176921548213,2000-04-01 00:00:00,B,"Jpmorgan Chase Bank, Na",,7.875,7.875,186000.0,0.0,360.0,3.0,357.0,357.0,90.0,,2.0,23.0,785.0,707.0,True,P,SF,1.0,P,PA,42540,184.0,25.0,FRM,False,,00,,False,,,,,,,,,,,,,,,1.0,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
177063410859,2002-06-01 00:00:00,R,Other,"Jpmorgan Chase Bank, Na",9.125,9.125,24000.0,23055.75,360.0,26.0,334.0,312.0,70.0,,2.0,36.0,653.0,654.0,False,C,CP,1.0,P,NY,35620,117.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
177191011179,2002-12-01 00:00:00,B,"Jpmorgan Chase Bank, Na","Jpmorgan Chase Bank, Na",8.0,8.0,64000.0,62313.46,360.0,35.0,325.0,325.0,80.0,,2.0,13.0,537.0,581.0,False,R,SF,1.0,P,PA,21500,165.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
177309165303,2001-09-01 00:00:00,B,"Jpmorgan Chase Bank, Na",,7.875,7.875,249000.0,244843.57,360.0,19.0,341.0,339.0,80.0,,2.0,40.0,743.0,747.0,False,R,SF,1.0,P,UT,36260,840.0,,FRM,False,,00,,False,,,,,,,,,,,,,,,,False,7,,False,,False,,False,,,,,7,2000Q1,2000.0
