fund_date,start_date,finish_date,price,total_additional_payments,expenses,total_after_fees,total_hours,status,project_type,master_ownership,song_ownership,time_tracked,soundbetter,spec_project,experienced_client,difficult_client,backend_belief,backend_money_made,sync_license,fully_produced,songwriter,project_hourly,days_to_finish,days_to_start,client_id,project_id
,2020-11-01,2020-11-07,,,,,19.25,Done,full production,,0.33,True,False,True,True,False,True,False,False,True,True,,6.0,,46,143
,,2018-10-17,,,,,,Done,songwriting,,0.5,False,False,True,True,False,True,False,False,False,True,,,,47,167
2020-10-20,2021-06-17,2022-02-02,0.2,,,0.2,17.5,Done,full production,,,True,False,False,True,False,True,False,False,True,True,0.011429333333333333,230.0,240.0,48,106
2021-06-16,2021-06-17,2021-06-24,0.12,,,0.12,4.81,Done,vocal production,,,True,False,False,True,False,False,False,False,True,False,0.024949333333333334,7.0,1.0,48,110
2021-06-16,2021-06-18,2021-06-24,0.12,,,0.12,8.91,Done,vocal production,,,True,False,False,True,False,False,False,False,True,False,0.013469333333333333,6.0,2.0,48,109
2021-06-15,2021-06-16,2021-06-24,0.12,,,0.12,8.94,Done,vocal production,,,True,False,False,True,False,False,False,False,True,False,0.013424,8.0,1.0,48,107
2021-06-16,2021-06-19,2021-06-24,0.12,,,0.12,9.83,Done,vocal production,,,True,False,False,True,False,False,False,False,True,False,0.012208,5.0,3.0,48,108
2023-06-25,2023-06-27,2023-09-21,0.5333333333333333,,,0.5333333333333333,29.22,Done,full production,0.5,0.25,True,False,False,True,False,True,False,False,True,True,0.018253333333333333,86.0,2.0,49,69
2020-08-28,2021-03-03,2021-06-23,0.22666666666666666,0.013333333333333334,,0.221064,13.92,Done,track production,,,True,True,False,False,False,False,False,False,True,False,0.01588,112.0,187.0,50,95
2022-11-16,2022-11-20,2023-03-28,1.0,,,0.9011013333333333,32.52,Done,full production,0.03,0.5,True,True,False,False,False,True,False,False,True,True,0.027709333333333332,128.0,4.0,51,126
2020-05-21,,,0.22666666666666666,,,0.20878400000000003,0.0,Paused,track production,,,True,True,False,False,False,False,False,False,False,False,,,,52,238
,,2017-08-02,,,,,,Done,full production,,,False,True,False,False,False,False,False,False,True,False,,,,53,168
2023-08-14,2023-11-02,,0.4,,,0.36044000000000004,10.32,Active,track production,,,True,True,False,False,False,False,False,False,,False,0.034925333333333336,,80.0,54,33
2022-07-12,2022-09-26,2022-10-22,0.4,,,0.36844000000000005,5.21,Done,full production,,,True,True,False,True,False,False,False,False,True,False,0.07071733333333333,26.0,76.0,54,34
2018-10-14,2018-10-15,,0.22666666666666666,,,,,Paused,track production,,,False,True,False,False,False,False,False,False,False,False,,,1.0,55,170
,,2017-08-02,,,,,,Done,full production,,,False,True,False,False,False,False,False,False,True,False,,,,55,169
